trial_index,stage,name,status,failure_class,seconds,intended_tokens,completed_tokens,completion_fraction,final_eval_main_loss,best_eval_main_loss,median_tokens_per_second,trainable_parameters,active_parameters_estimate,ffn_type,kda_layers,latent_attention_layers,mtp_depth,gpu_util_mean_pct,gpu_util_median_pct,gpu_util_active_median_pct,gpu_util_p90_pct,gpu_power_median_w,gpu_power_min_w,gpu_sm_clock_median_mhz,gpu_sm_clock_min_mhz,gpu_mem_used_median_mib,gpu_temp_median_c,child_pid,power_event_note,interpretation_guardrail
0,validation,core-tests,ok,,4.569295410001359,,,,,,,,,,,,,0.0,0.0,,0.0,4.09,4.09,210.0,210.0,14.0,45.0,40346,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
1,data,prepare-proxy,ok,,33.00378031999935,,,,,,,,,,,,,0.0,0.0,,0.0,4.06,4.02,210.0,210.0,14.0,47.0,40652,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
2,absorbed-mla,A1-reconstructed,ok,,8.374522728001466,,,,,,6838.288000912016,517543721,517543721,dense,23,7,0,0.5,0.5,,0.9,12.6,4.05,1020.0,210.0,857.0,46.0,41004,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
3,absorbed-mla,B1-absorbed,ok,,8.123761219001608,,,,,,7170.992760039337,517543721,517543721,dense,23,7,0,2.0,2.0,,3.6,12.645000000000001,4.03,1020.0,210.0,858.0,47.0,41215,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
4,absorbed-mla,B2-absorbed,ok,,8.367274478998297,,,,,,7156.207661980221,517543721,517543721,dense,23,7,0,0.5,0.5,,0.9,16.71,12.16,1080.0,330.0,858.0,47.5,41413,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
5,absorbed-mla,A2-reconstructed,ok,,8.371488353001041,,,,,,6847.400366714718,517543721,517543721,dense,23,7,0,0.0,0.0,,0.0,16.439999999999998,11.93,1072.5,315.0,857.0,47.5,41696,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
6,context,dense-absorbed-mtp0-8192,ok,,10.127939649999462,,,,,,6556.467812127923,517543721,517543721,dense,23,7,0,1.5,1.5,,2.7,12.83,4.18,1072.5,315.0,857.0,48.0,41895,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
7,context,dense-absorbed-mtp0-16384,ok,,15.180608866001421,,,,,,5702.569883705352,517543721,517543721,dense,23,7,0,33.666666666666664,1.0,100.0,80.2,21.5,11.93,1830.0,330.0,1702.0,50.0,42102,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
8,context,dense-absorbed-mtp0-32768,ok,,27.365578965000168,,,,,,4648.923401196665,517543721,517543721,dense,23,7,0,68.33333333333333,100.0,100.0,100.0,132.85999999999999,12.33,2400.0,210.0,7077.0,77.0,42409,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
9,context,dense-absorbed-mtp0-65536,oom,cuda_oom,21.065369042000384,,,,,,,517543721,517543721,dense,23,7,0,38.0,36.0,57.0,81.0,67.07,12.46,2400.0,225.0,2682.0,58.0,42698,,INCOMPLETE/FAILURE: never compare final quality as if full-budget.
10,context-moe,grouped-absorbed-mtp0-4096,ok,,9.113789525999891,,,,,,5936.004784554209,833652521,424904489,moe,23,7,0,0.5,0.5,,0.9,16.794999999999998,11.76,1020.0,210.0,1468.0,51.0,43030,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
11,context-moe,grouped-absorbed-mtp0-8192,oom,cuda_oom,7.613906268001301,,,,,,,833652521,424904489,moe,23,7,0,0.0,0.0,,0.0,17.185,12.22,1020.0,210.0,1468.0,50.5,43228,,INCOMPLETE/FAILURE: never compare final quality as if full-budget.
12,sparse,native-nsa-surrogate,ok,,14.698858780000592,,,,,,,,,,,,,0.0,0.0,,0.0,4.1,4.07,210.0,210.0,14.0,48.0,43420,,SYSTEM/INTEGRATION evidence; not a model-quality conclusion.
13,arch-screen,dense-kda3,ok,,383.3958918370008,4194304,4194304,1.0,6.76171875,6.76171875,14536.099111990832,198240216,198240216,dense,18,6,0,61.3421052631579,72.0,74.0,85.5,110.02,4.15,2400.0,210.0,4058.0,76.0,43626,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
14,arch-screen,dense-all-kda,ok,,304.61600274300145,4194304,4194304,1.0,7.5078125,7.2734375,14142.05107844815,200272416,200272416,dense,24,0,0,72.65573770491804,73.0,73.5,88.0,113.72,12.65,2400.0,390.0,4092.0,85.0,45668,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
15,arch-screen,latentmoe-kda3,ok,,531.9460615960015,4194304,4194304,1.0,6.76953125,6.76953125,8064.7401906970845,425592792,198510552,latent_moe,18,6,0,56.56603773584906,59.0,59.0,72.0,84.045,12.7,2415.0,630.0,5782.0,69.0,47258,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
16,arch-screen,dense-kda7,ok,,301.01210631700087,4194304,4194304,1.0,6.7578125,6.7578125,14327.860909900915,199256316,199256316,dense,21,3,0,73.71666666666667,75.0,75.0,88.1,113.975,12.38,2400.0,375.0,4048.0,84.0,50903,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
17,arch-screen,dense-kda1,ok,,288.62246348400004,4194304,4194304,1.0,6.79296875,6.79296875,14941.900877482387,196208016,196208016,dense,12,12,0,77.52631578947368,79.0,79.0,90.4,112.99,12.82,2400.0,405.0,3960.0,86.0,52384,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
18,arch-screen,moe-grouped-kda3,ok,,447.9772745299997,4194304,4194304,1.0,6.71484375,6.71484375,9552.219913017612,415725528,201619416,moe,18,6,0,60.95505617977528,63.0,63.0,76.2,94.92,12.74,2400.0,405.0,5588.0,76.0,53792,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
19,arch-screen,dense-all-mla,ok,,268.92604312500043,4194304,4194304,1.0,6.046875,6.046875,15928.648426537235,192143616,192143616,dense,0,24,0,82.53703703703704,84.0,84.0,91.0,113.695,12.48,2340.0,330.0,3848.0,86.5,56244,,"SCREEN ONLY (~4.19M tokens, seq 2K); do not treat as final architecture verdict."
